time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-11-09T17:14:33.630Z,37.1406667,-97.5675,3.68,1.99,ml,21,98,0.04086,0.06,ismpkansas,ismpkansas70152298,2015-11-10T19:21:20.970Z,"12km NNE of Caldwell, Kansas",earthquake
2015-11-08T22:20:51.190Z,37.179,-97.7875,4.35,2.34,ml,21,81,0.03423,0.05,ismpkansas,ismpkansas70152013,2015-12-20T22:49:27.040Z,"21km E of Anthony, Kansas",earthquake
2015-11-08T17:11:27.580Z,36.9623333,-97.8523333,7.57,1.84,ml,21,73,0.08883,0.05,ismpkansas,ismpkansas70151953,2015-11-10T19:21:32.600Z,"20km NNW of Medford, Oklahoma",earthquake
2015-11-08T08:29:00.140Z,36.9415,-97.8333333,5.93,3.24,ml,21,85,0.09226,0.05,ismpkansas,ismpkansas70151808,2015-12-11T09:46:04.040Z,"17km NNW of Medford, Oklahoma",earthquake
2015-11-08T04:04:21.940Z,36.9456667,-97.8351667,6.09,3.44,ml,21,82,0.09601,0.08,ismpkansas,ismpkansas70151678,2015-12-13T05:09:17.628Z,"18km NNW of Medford, Oklahoma",earthquake
2015-11-08T00:25:01.640Z,37.2616667,-97.5933333,4.42,1.84,ml,20,112,0.04144,0.05,ismpkansas,ismpkansas70151593,2015-11-10T19:21:53.600Z,"14km SSE of Conway Springs, Kansas",earthquake
2015-11-07T23:43:28.060Z,36.9383333,-97.8375,5.96,3.37,ml,21,83,0.08846,0.05,ismpkansas,ismpkansas70151573,2015-12-17T05:21:01.104Z,"17km NNW of Medford, Oklahoma",earthquake
2015-11-07T22:13:18.840Z,36.944,-97.834,5.18,3.36,ml,21,83,0.09458,0.07,ismpkansas,ismpkansas70151548,2015-12-06T05:28:28.270Z,"18km NNW of Medford, Oklahoma",earthquake
2015-11-07T21:14:31.130Z,37.2255,-97.8736667,3.78,1.9,ml,19,82,0.02548,0.05,ismpkansas,ismpkansas70151498,2015-11-10T19:22:06.570Z,"15km ESE of Harper, Kansas",earthquake
2015-11-07T18:29:13.500Z,36.9411667,-97.8345,6.21,3.97,ml,21,84,0.09173,0.04,ismpkansas,ismpkansas70151348,2015-12-19T14:20:53.702Z,"18km NNW of Medford, Oklahoma",earthquake
2015-11-07T11:31:18.690Z,36.9416667,-97.8351667,6.1,2.76,ml,21,84,0.0921,0.04,ismpkansas,ismpkansas70151128,2015-11-21T13:12:01.164Z,"18km NNW of Medford, Oklahoma",earthquake
2015-11-07T11:11:53.830Z,36.941,-97.8498333,6.15,4.19,ml,21,77,0.08967,0.05,ismpkansas,ismpkansas70151088,2015-12-20T07:31:06.904Z,"19km NNW of Medford, Oklahoma",earthquake
2015-11-06T18:30:32.440Z,37.1583333,-97.6226667,4.32,1.61,ml,12,104,0.02243,0.03,ismpkansas,ismpkansas70150873,2015-11-06T20:19:08.650Z,"14km N of Caldwell, Kansas",earthquake
2015-11-04T19:45:14.680Z,37.058,-97.9318333,5.43,1.98,ml,20,75,0.06946,0.05,ismpkansas,ismpkansas70150313,2015-11-04T21:50:29.920Z,"13km SE of Anthony, Kansas",earthquake
2015-11-04T16:38:49.020Z,36.9396667,-97.8475,6.03,2.72,ml,21,78,0.08853,0.05,ismpkansas,ismpkansas70150278,2015-12-21T21:29:24.040Z,"17km NNW of Medford, Oklahoma",earthquake
2015-11-04T15:16:39.390Z,36.9403333,-97.8476667,5.86,2.77,ml,21,78,0.08918,0.06,ismpkansas,ismpkansas70150258,2015-12-21T21:28:32.040Z,"18km NNW of Medford, Oklahoma",earthquake
2015-11-04T02:38:51.150Z,37.0608333,-97.5281667,5.97,1.71,ml,14,106,0.06257,0.03,ismpkansas,ismpkansas70150078,2015-11-04T20:05:23.160Z,"7km ENE of Caldwell, Kansas",earthquake
2015-11-03T21:28:52.340Z,37.0603333,-97.5268333,5.92,2.33,ml,21,106,0.0615,0.04,ismpkansas,ismpkansas70150063,2015-11-04T19:54:21.054Z,"7km ENE of Caldwell, Kansas",earthquake
2015-11-03T19:33:06.080Z,37.0573333,-97.5298333,6.14,2.12,ml,22,105,0.06085,0.04,ismpkansas,ismpkansas70150043,2015-11-04T03:35:34.928Z,"7km ENE of Caldwell, Kansas",earthquake
